atom	status	evidence
六能力总表：准确工具调用、长上下文一致性、可定制性、复杂任务管理、环境理解、安全	ok	§5.2（fig_15，转写 35:00）
两条建设路线：LLM training（pre-training/SFT/RL）与 harness engineering	ok	§6.1（fig_16，转写 35:30--39:30）
讲者的判断：多数问题先在 harness 解决，再被模型训练吸收；他更看好训练的「根本解」	ok	§6.2（转写 37:00--38:30）
长上下文为何是特例：既是准确性问题也是效率问题（n² 复杂度）	ok	§6.2（转写 38:30--39:15）
小模型需要更多护栏（推理成本与泛化能力的权衡）	ok	§6.2（转写 40:30--41:15）
训练栈三段：Pretraining → Mid-training/SFT → RL 与各自数据形态	ok	§6.3（fig_17，转写 41:30--43:00）
能力 1：准确工具调用——Select/Arguments/Validate/Execute；文法约束解码与工具轨迹 SFT	ok	§7.1（fig_18，转写 43:30--44:00）
能力 2：长上下文一致性——压缩/compaction、动态记忆检索、子 agent 委派	ok	§7.2（fig_19，转写 44:30--45:00）
能力 3：可定制性——agent memory、skills、自定义工具、从用户反馈 RL	ok	§7.3（fig_20，转写 45:15--46:00）
能力 4：复杂任务管理——planning/decomposition 工具、子 agent 委派、长时任务训练	ok	§7.4（fig_21，转写 46:00--47:00）
plan mode 往往是「在 prompt 里加一句请先规划」	ok	§7.4 knowledgebox
能力 5：环境理解——领域 skills、期望观测形状的 SFT、领域环境 RL（GUI/时序/显微图）	ok	§7.5（fig_22，转写 47:00--49:15）
能力 6：安全——沙箱、限制凭证、监控轨迹、safety-aware RL	ok	§7.6（fig_23，转写 49:30--51:30）
「安全就是能力」：讲者主张把 capability safety 当作模型能力的一部分	ok	§7.6 importantbox
OpenAI 基准作弊事件的三重失效：沙箱/凭证/监控	ok	§7.6（转写 50:00--51:15）
agents are systems：Harness/Sandbox/Inference/Model 四层	ok	§8.1（fig_24，转写 52:45）
Harness 职责与代表软件（CC/Codex/OpenHands/OpenCode/Pi、LangChain/CrewAI）	ok	§8.2（fig_25，转写 53:15--55:00）
Orchestrator 与 coding harness 的哲学差异（声明式工作流 vs 大动作空间）	ok	§8.2 表格
Sandbox：隔离执行、限制算力/网络/文件；Docker/Apptainer 与可复现环境	ok	§8.2（fig_26，转写 55:15）
LM inference：批处理、KV cache 复用、流式与并行；vLLM/SGLang、OpenRouter	ok	§8.2（fig_27，转写 56:15--57:30）
Training systems：准备数据与 rollout、分布式 worker、checkpoint/评估/复现；SkyRL、Miles	ok	§8.2（fig_28，转写 57:45）
Observability：trace/成本/延迟/质量，Laminar、MLFlow	ok	§8.2（fig_29，转写 58:00--59:00）
学习目标：从零实现 agent、设计多步评测、训练改进、权衡安全与可靠	ok	§9.1（fig_30，转写 58:45）
三次作业的能力递进：A1 harness、A2 evaluation、A3 training，最后是绑定任务的 project	ok	§9.2（fig_31，转写 59:45）
成绩构成：作业 40%、highlights 10%、项目 50%（提案/check-in/展示/终稿）	ok	§9.2（fig_32，转写 63:15）
课堂 AI 政策：默认允许用 agent，但 highlight 必须自己写、每个提交都要能被 quiz 追问	ok	§9.3（fig_33，转写 66:00--67:00）
课程先修：认真训练过 4-7B 级别模型（pre-training 不覆盖）	ok	§9.2 正文（转写 61:30--63:00）
