figure	frame	start	end	topic
figures/fig_13_deltanet.jpg	f_0112.png	27:45	27:59	DeltaNet：先读出预测 v̂_t=S_{t-1}^T k_t，再只写入误差 e_t=v_t-v̂_t，步长 β_t∈[0,1][ocr]
figures/fig_14_gated_delta.jpg	f_0116.png	28:45	28:59	Gated DeltaNet：先整体衰减 S←α_t S，再做定向修正；α_t=1 退化为 DeltaNet[ocr]
figures/fig_15_kda.jpg	f_0122.png	30:15	30:29	Kimi Delta Attention：逐通道衰减 D_t=Diag(α_t)，每个 key 维度有自己的记忆寿命[ocr]
figures/fig_16_sparse_attention.jpg	f_0128.png	31:45	31:59	稀疏注意力两族：固定模式 S_fix 与内容相关 S_dyn=TopK(q_i·k_j)，都在保留集上重新归一化[ocr]
figures/fig_17_kv_compression.jpg	f_0138.png	34:15	34:29	KV 压缩：GQA/MQA 减少 KV 头数，MLA 缓存压缩 latent 再重建每头 K/V[ocr]
figures/fig_18_short_to_long.jpg	f_0150.png	37:15	37:29	短到长训练三阶段：short pretraining 4K-8K →continued training 32K-128K →long adaptation 128K+[ocr]
figures/fig_19_rope.jpg	f_0159.png	39:30	39:44	RoPE：对 Q、K 逐行旋转 q_i=R(i)q_i，分数只依赖相对位移 q_i^T R(j-i) k_j[ocr]
figures/fig_20_nope.jpg	f_0161.png	40:00	40:14	NoPE：第一层只输入 token 状态 z_t=E[x_t]，顺序由因果计算与循环动态隐式给出[ocr]
figures/fig_21_position_interp.jpg	f_0171.png	42:30	42:44	位置插值：把训练范围 L 拉伸到 L= sL，用 R(t)→R(t/s) 复用已学到的相位[ocr]
figures/fig_22_model_extension_table.jpg	f_0173.png	43:00	43:14	各模型的长上下文扩展路径：Qwen/DeepSeek 用部分 RoPE+YaRN，GLM 用 NoPE，Kimi/Nemotron 各有课程[ocr]
figures/fig_23_yarn.jpg	f_0183.png	45:30	45:44	YaRN：按频率分段（长波长全插值、中段混合、短波长保留），并加入注意力温度调整[ocr]
figures/fig_24_data_examples.jpg	f_0191.png	47:30	47:44	长上下文数据四类：packed examples、long documents、agent trajectories、synthetic tasks[ocr]
figures/fig_25_data_mixtures.jpg	f_0194.png	48:15	48:29	各模型数据配方：Kimi K3 清洗文档+视频 8K→64K→256K→1M，GLM-5 32K→128K→200K 等[ocr]
figures/fig_26_context_parallel.jpg	f_0200.png	49:45	49:59	上下文并行（Ring Attention）：K/V 分块在设备间轮转，内存/设备 O(n d_k/P)，计算精确不稀疏[ocr]
figures/fig_27_kv_caching.jpg	f_0217.png	54:00	54:14	解码期 KV 缓存：调用内 output 扩展缓存，调用间 tool result 作为新输入在 prefill 后并入可复用前缀[ocr]
figures/fig_28_cache_benefit.jpg	f_0219.png	54:30	54:44	缓存复用的经验收益：从头 prefill 与 KV 复用的每调用成本/延迟对比（CPU、A40、RTX4090）[ocr]
figures/fig_29_cached_pricing.jpg	f_0221.png	55:00	55:14	cached-token 定价表：多个模型的常规输入、缓存输入与输出单价（USD/1M tokens）[ocr]
figures/fig_30_paged_attention.jpg	f_0235.png	58:30	58:44	Paged KV-cache：物理块 + 逻辑块 + block table 的地址翻译，支持按块驱逐[ocr]
figures/fig_31_radix_attention.jpg	f_0238.png	59:15	59:29	RadixAttention：用基数树匹配公共前缀，命中后复用前缀、追加后缀、LRU 驱逐叶子[ocr]
figures/fig_32_cache_routing.jpg	f_0240.png	59:45	59:59	缓存感知路由：按可复用前缀长度减队列惩罚选 worker（18K match vs 2K match）[ocr]
figures/fig_33_cache_hit_ranking.jpg	f_0245.png	61:00	61:14	同一模型不同供应商的缓存命中率差距：从 2.2% 到 95.0%[ocr]
figures/fig_34_prompt_design.jpg	f_0261.png	65:00	65:14	缓存友好的提示设计：稳定前缀、变化状态只追加在尾部、度量复用、避免时间戳等扰动[ocr]
figures/fig_35_compaction_example.jpg	f_0270.png	67:15	67:29	压缩前后对比：24K 行 CI 日志压成原因（端口冲突）、命令（--workers=1）、证据路径与下一步[ocr]
figures/fig_36_compaction_state.jpg	f_0272.png	67:45	67:59	把压缩视为状态估计：s_t=C(H_t,B)，要求行为保真、表示有界、可恢复[ocr]
figures/fig_37_what_survives.jpg	f_0276.png	68:45	68:59	压缩中保留什么：锚点与最近尾部精确保留，中段编码成 checkpoint，证据外置到 evidence store[ocr]
figures/fig_38_compaction_policy.jpg	f_0287.png	71:30	71:44	压缩策略三要素：触发（阈值/溢出/手动）、选择（保护开头、压缩中段、保留尾部）、替换方式[ocr]
figures/fig_39_repeated_drift.jpg	f_0289.png	72:00	72:14	反复压缩漂移：每次更新继承上一份 checkpoint，约束可能在多轮压缩中丢失[ocr]
figures/fig_40_continuation_eval.jpg	f_0290.png	72:15	72:29	基于续跑的评测：压缩后测状态召回、任务成功、效率与反复压缩的稳定性[ocr]
figures/fig_41_system_stack.jpg	f_0301.png	75:00	75:14	长上下文系统栈总结：Growth、Inference、Architecture、Caching、Compaction 五行[ocr]
